"interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"pp","4565.A0A3B5Z5U9 (pp) 4565.W5CUJ0","false","pp","4565.A0A3B5Z5U9 (pp) 4565.W5CUJ0","0.1","0.0","0.189","0.143","0.0",,"0.0","0.449","0.224"
"pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6N0R4","false","pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6N0R4","0.1","0.0","0.189","0.143","0.0",,"0.0","0.449","0.224"
"pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6CCH7","false","pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6CCH7","0.0","0.0","0.455","0.042","0.0",,"0.0","0.455","0.0"
"pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6D6P2","false","pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6D6P2","0.269","0.0","0.0","0.216","0.0",,"0.0","0.462","0.138"
"pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6LIR6","false","pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6LIR6","0.0","0.0","0.402","0.144","0.0",,"0.0","0.468","0.045"
"pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6EN93","false","pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6EN93","0.0","0.0","0.402","0.144","0.0",,"0.0","0.468","0.045"
"pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6ITL4","false","pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6ITL4","0.044","0.0","0.402","0.144","0.0",,"0.0","0.47","0.045"
"pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6KIC5","false","pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6KIC5","0.0","0.0","0.457","0.0","0.0",,"0.0","0.472","0.069"
"pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6SEK3","false","pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6SEK3","0.0","0.0","0.457","0.0","0.0",,"0.0","0.472","0.069"
"pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6H5D0","false","pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6H5D0","0.064","0.451","0.0","0.084","0.0",,"0.0","0.488","0.0"
"pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6PGU8","false","pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6PGU8","0.0","0.0","0.437","0.142","0.0",,"0.0","0.496","0.0"
"pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6CD11","false","pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6CD11","0.071","0.0","0.442","0.111","0.0",,"0.0","0.498","0.0"
"pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6CEZ1","false","pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6CEZ1","0.071","0.0","0.442","0.111","0.0",,"0.0","0.498","0.0"
"pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6CDP3","false","pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6CDP3","0.071","0.0","0.442","0.111","0.0",,"0.0","0.498","0.0"
